epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.614,2.15251,2.17814,1.45694,0.54222,0.50208,0.51551,0.20611,2.01842,1.62162,1.44163,0.000415873,0.000415873,0.000415873
2,293.512,2.00061,1.55174,1.37322,0.59229,0.56803,0.58366,0.2416,1.96279,1.5505,1.41074,0.000816055,0.000816055,0.000816055
3,433.357,1.97776,1.43901,1.35698,0.60177,0.56673,0.59537,0.24333,2.0343,1.45319,1.46313,0.00119974,0.00119974,0.00119974
4,572.803,1.95504,1.37431,1.34758,0.63384,0.58922,0.62792,0.266,1.95422,1.40746,1.40505,0.00117575,0.00117575,0.00117575
5,712.439,1.9291,1.33417,1.32835,0.63879,0.61562,0.65373,0.28212,1.91521,1.35792,1.39796,0.001151,0.001151,0.001151
6,851.391,1.91195,1.2986,1.31896,0.67452,0.60945,0.66725,0.29003,1.9177,1.30305,1.38636,0.00112625,0.00112625,0.00112625
7,990.6,1.89522,1.26692,1.30865,0.66926,0.64557,0.69164,0.30933,1.88118,1.23861,1.37818,0.0011015,0.0011015,0.0011015
8,1130.06,1.88099,1.24204,1.30188,0.6748,0.67194,0.71165,0.31531,1.85994,1.20979,1.34942,0.00107675,0.00107675,0.00107675
9,1269.63,1.86313,1.2142,1.2876,0.69811,0.67865,0.72864,0.33639,1.82415,1.15255,1.33475,0.001052,0.001052,0.001052
10,1409.27,1.85484,1.19679,1.28213,0.70711,0.68357,0.73765,0.33755,1.79774,1.14173,1.32453,0.00102725,0.00102725,0.00102725
11,1548.5,1.83276,1.16866,1.27856,0.72788,0.69632,0.76229,0.35376,1.79375,1.09963,1.31325,0.0010025,0.0010025,0.0010025
12,1687.4,1.81717,1.15116,1.26946,0.74385,0.69798,0.76261,0.36104,1.76045,1.07217,1.30735,0.00097775,0.00097775,0.00097775
13,1826.43,1.80752,1.12525,1.26225,0.74674,0.71976,0.7841,0.37492,1.7525,1.0438,1.29199,0.000953,0.000953,0.000953
